Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21
3;RGE SUL;3;RGE SUL;1,040;1,040;1,040;0,966;0,966;0,966;31,077;31,076;31,076;31,076;31,077;31,076
5;BANDEIRANTE;5;BANDEIRANTE;137,304;137,304;137,304;94,381;94,381;94,381;241,781;241,781;241,781;233,628;224,385;224,381
8;ENERGISA MG;8;ENERGISA MG;1,261;1,261;1,261;1,245;1,245;1,245;1,245;1,245;1,245;0,958;0,958;0,958
10;CEAL;10;CEAL;9,360;9,360;9,360;3,150;3,150;3,150;19,150;19,150;19,150;17,847;17,847;17,847
12;CEEE TRANSMISSAO;12;CEEE-GT;260,295;252,612;253,902;;;;;;;;;
13;ENERGISA BO;13;ENERGISA BO;3,887;3,887;3,887;3,887;3,887;3,887;3,887;3,887;3,887;3,887;3,887;3,887
15;CELG;15;CELG;68,541;68,541;68,541;39,444;39,444;39,444;198,436;208,444;208,444;291,861;290,725;290,724
16;CELPA;16;CELPA;0,545;0,545;0,545;0,543;0,543;0,543;0,543;0,543;0,543;0,543;0,543;0,543
17;CELPE;17;CELPE;153,079;153,079;153,079;137,615;137,615;137,615;349,062;349,062;349,062;442,368;442,368;442,368
19;CEMAR;19;CEMAR;0,221;0,221;0,221;0,206;0,206;0,206;0,206;0,206;0,206;0,206;0,206;0,206
20;ENERGISA MT;20;ENERGISA MT;8,786;8,786;8,786;8,169;8,169;8,169;8,169;8,169;8,169;5,259;5,259;5,259
22;CEPISA;22;CEPISA;17,170;17,170;17,170;7,508;7,508;7,508;23,508;23,508;23,508;22,791;22,791;22,791
23;CESP;23;CESP;952,778;949,588;1.024,537;864,382;815,399;773,504;795,752;793,400;827,596;839,401;837,139;867,215
24;AMPLA;24;AMPLA;10,711;10,711;10,711;10,138;10,138;10,138;68,262;76,138;76,138;76,138;76,138;76,138
26;CHESF;26;CHESF;595,608;625,359;447,989;585,914;561,865;514,293;525,520;554,620;482,765;509,171;491,020;544,365
30;COELBA;30;COELBA;0,537;0,537;0,537;0,455;0,455;0,455;0,455;0,455;0,455;0,455;0,455;0,455
31;COELCE;31;COELCE;72,708;72,708;72,708;30,864;30,864;30,864;100,864;100,864;100,864;157,623;157,905;157,905
33;COSERN;33;COSERN;36,193;36,193;36,193;33,372;33,372;33,372;118,545;118,545;118,545;143,717;143,717;143,717
34;CPFL PAULISTA;34;CPFL PAULISTA;36,047;36,047;36,047;6,511;6,511;6,511;265,135;265,135;265,135;265,135;265,135;265,135
35;CPFL GERACAO;35;CPFL GERACAO;47,400;47,400;47,400;47,400;47,400;47,400;47,400;47,400;47,400;47,400;47,400;47,400
37;CSN ENERGIA;37;CSN ENERGIA;50,000;56,786;44,210;50,823;50,994;50,883;50,751;50,661;50,974;50,846;50,106;48,222
40;DFESA;40;DFESA;69,820;67,741;67,395;66,473;65,940;65,940;65,940;65,940;65,940;65,940;65,940;65,940
41;RIO PARANAPAN;41;RIO PARANAPAN;949,695;955,173;928,579;910,263;849,652;833,954;944,029;936,266;917,663;918,094;904,862;883,404
46;ELEKTRO;46;ELEKTRO;94,271;94,271;94,271;94,263;94,263;94,263;144,989;144,989;144,989;144,556;144,556;144,556
48;ELETRONORTE;48;ELETRONORTE;2.358,942;2.588,633;2.726,758;2.971,481;2.784,418;1.586,248;2.643,668;2.643,813;2.694,064;2.709,926;3.134,220;3.198,314
49;ELETROPAULO;49;ELETROPAULO;18,631;18,631;18,631;16,880;16,880;16,880;255,535;304,346;304,346;303,729;304,346;304,346
53;EDP C;53;EDP C;1.156,713;1.248,133;1.714,360;1.030,311;1.109,563;1.064,882;1.287,188;1.489,103;1.299,553;1.333,230;1.799,381;4.360,777
55;ESCELSA;55;ESCELSA;49,811;49,811;49,811;22,922;22,922;22,922;126,322;126,322;126,322;120,418;118,847;118,846
56;FURNAS;56;FURNAS;2.072,133;2.194,667;2.183,733;1.876,362;1.862,104;1.856,999;1.917,053;1.925,962;1.936,520;1.944,223;1.947,801;1.947,866
57;ENGIE BR GER;57;ENGIE BR GER;2.972,792;3.176,458;3.120,883;4.031,976;2.725,150;3.015,973;2.882,620;2.840,204;3.044,629;2.701,225;3.782,206;3.316,860
58;NC ENERGIA;58;NC ENERGIA;458,978;450,681;462,059;579,110;654,426;468,401;444,284;496,470;433,861;449,756;468,787;485,460
61;ITASA;61;ITASA;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016;392,016
62;ITAMBE;62;ITAMBE;17,531;18,329;24,089;19,911;24,246;26,316;21,075;20,878;23,331;17,477;16,464;20,832
63;CPFL JAGUARI;63;CPFL JAGUARI;2,708;2,708;2,708;2,484;2,484;2,484;4,061;4,061;4,061;4,019;4,019;4,019
64;LIGHT;64;LIGHT;0,138;0,138;0,138;0,117;0,117;0,117;15,798;15,798;15,798;15,798;15,798;15,798
67;ROSAL;67;ROSAL;27,859;27,859;23,537;22,639;22,288;22,684;23,335;24,605;27,042;27,859;22,349;21,191
69;TRADENER;69;TRADENER;481,000;430,544;440,153;320,912;338,843;375,689;388,742;377,696;379,862;375,604;363,564;388,443
71;CDSA;71;CDSA;199,385;203,803;235,845;649,386;530,867;399,677;452,175;463,959;469,972;532,790;532,125;530,312
72;CBA;72;CBA;15,000;15,000;15,000;15,000;15,000;15,000;15,000;15,000;15,000;15,000;15,000;15,000
77;ITIQUIRA;77;ITIQUIRA;148,321;148,452;148,452;148,099;82,956;68,292;62,393;58,338;63,767;64,048;72,755;84,695
80;CEB LAJEADO;80;CEB LAJEADO;92,274;102,161;92,274;95,350;92,274;95,350;92,274;92,274;95,350;92,274;95,350;92,274
81;COPEL DISTRIB;81;COPEL DISTRIB;127,697;127,697;127,697;127,697;127,697;127,697;217,315;217,776;217,776;193,805;193,805;193,805
82;COPEL GET;82;COPEL GET;1.327,339;1.350,910;1.294,759;1.201,298;1.172,586;1.177,862;1.265,121;1.312,290;1.324,015;1.292,511;1.276,610;1.219,893
87;INVESTCO;87;INVESTCO;3,918;3,978;3,965;4,014;3,755;3,564;3,740;4,206;4,247;4,239;4,257;3,773
89;CPFL LAJEADO;89;CPFL LAJEADO;29,139;30,949;29,558;26,163;23,246;22,890;22,427;25,846;30,010;23,146;26,835;26,390
90;LAJEADO ENERG;90;LAJEADO ENERG;367,099;358,686;367,262;362,582;328,849;383,507;329,418;473,786;531,503;344,982;344,687;559,374
91;SA CARVALHO;91;SA CARVALHO;53,789;53,852;53,972;53,830;53,850;53,893;53,911;53,911;53,893;53,789;53,830;53,972
94;CPFL PIRATINGA;94;CPFL PIRATINGA;63,447;63,447;63,447;38,831;38,831;38,831;272,113;272,113;272,113;271,038;271,038;271,038
96;CESC;96;CESC;26,201;25,025;25,787;23,659;22,225;23,186;26,201;27,784;26,201;26,201;25,095;28,709
97;COMERC;97;COMERC;1.139,442;1.107,015;1.062,922;846,375;929,620;873,126;919,051;907,745;942,157;826,282;818,885;860,301
101;VOTENER;101;VOTENER;1.509,739;1.513,763;1.500,061;1.516,709;1.533,927;1.532,599;1.798,821;1.808,819;1.855,883;2.015,738;1.699,327;1.786,483
102;ALCOA;102;ALCOA;333,513;361,806;363,520;324,140;403,632;314,634;404,886;345,923;348,821;357,688;362,260;384,043
103;DMED;103;DMED;12,576;12,576;12,449;12,576;12,576;12,576;25,276;25,276;25,276;25,276;24,463;24,463
112;ELECTRA ENERGY;112;ELECTRA ENERGY;432,706;419,831;465,371;397,570;320,790;338,806;363,862;304,911;329,766;398,878;977,274;666,409
114;FOZ DO CHOPIM;114;FOZ DO CHOPIM;;4,250;;;;;;;;3,050;;
115;DELTA ENERGIA;115;DELTA ENERGIA;521,242;361,737;453,054;493,704;467,522;401,442;522,795;492,559;557,268;597,044;657,994;764,630
116;ENGIE BR COM;116;ENGIE BR COM;1.995,585;2.015,309;2.020,185;1.953,464;1.925,702;2.015,957;2.005,816;2.029,816;2.324,200;2.104,369;2.021,037;1.958,580
117;ELERAC;117;ELERAC;181,173;171,399;117,369;242,583;224,421;215,411;209,094;248,388;283,844;251,420;229,895;215,376
118;CPFL BRASIL;118;CPFL BRASIL;702,518;720,668;670,365;660,805;763,372;687,397;766,594;751,135;760,957;841,889;721,668;726,489
119;ITAPEBI;119;ITAPEBI;159,060;172,100;169,039;154,982;140,573;129,275;139,484;134,027;138,813;151,211;155,844;168,238
120;VALE ENERGIA;120;VALE ENERGIA;193,262;180,243;191,427;180,588;178,400;176,524;192,620;175,480;192,346;178,606;183,687;212,434
121;BROOKFIELD;121;BROOKFIELD;240,731;177,607;240,789;291,058;298,275;113,146;119,976;116,618;119,486;252,937;64,993;241,039
122;PBEN;122;PBEN;63,229;61,948;62,789;58,829;63,632;59,640;63,147;69,990;69,280;65,526;65,502;63,026
125;RIMA;125;RIMA;60,000;59,981;60,000;60,000;60,000;60,000;60,000;59,990;60,000;60,000;60,000;60,000
127;CINCO ESTRELAS;127;CINCO ESTRELAS;9,000;10,397;13,552;3,582;3,000;3,000;7,684;7,684;7,683;7,558;7,558;7,558
128;QGE;128;QGE;104,309;101,855;113,082;94,737;92,872;91,872;104,309;107,078;115,770;128,000;99,277;95,994
130;TANGARA;130;TANGARA;60,275;60,279;73,013;88,996;71,823;60,106;60,184;91,663;98,963;98,963;73,900;69,676
134;NORTE FLU;134;NORTE FLU;725,000;725,000;725,000;725,000;725,000;725,000;725,000;725,000;725,000;725,000;725,000;725,000
135;PETROBRAS PIE;135;PETROBRAS PIE;1.341,315;1.312,750;1.327,534;1.568,350;1.564,972;1.299,642;1.303,232;1.310,012;1.309,652;1.307,362;1.300,432;1.608,772
137;TERMOPE;137;TERMOPE;455,000;455,000;455,000;535,000;535,000;455,000;455,000;455,000;455,000;455,000;455,000;455,000
140;CGTF;140;CGTF;526,628;526,628;526,628;526,628;526,628;526,628;526,628;526,628;526,628;526,628;526,628;526,628
143;ECOM;143;ECOM;100,145;99,220;185,173;209,587;167,532;145,782;181,447;163,159;164,666;180,009;183,247;211,209
144;ESPORA;144;ESPORA;;;1,360;1,390;;;;;;;;1,390
146;DCELT;146;DCELT;;;;;;;7,400;7,400;7,400;7,400;7,400;7,400
151;NOVELIS;151;NOVELIS;5,242;4,464;4,032;;;;;;;;;
152;CEC;152;CEC;47,000;55,000;51,000;43,500;37,800;40,200;35,100;32,000;35,500;41,380;42,278;37,597
156;LAGES BIOENERG;156;LAGES BIOENERG;;;;232,840;;;;;;;;
198;CUMMINS;198;CUMMINS;;;;;;;;;;;;0,557
202;CERAN;202;CERAN;162,043;163,301;162,158;160,810;159,372;158,771;158,407;159,379;160,538;161,597;161,916;161,882
1036;CIPLAN;1036;CIPLAN;;;3,120;1,011;;1,289;2,848;6,262;6,078;2,189;;
1037;PIE - RP;1037;PIE - RP;16,258;;;;;;;;;;;
1040;ENECEL;1040;ENECEL;25,380;25,280;22,680;36,600;28,690;31,800;30,000;30,000;31,600;39,800;45,700;35,991
1044;ADM;1044;ADM;;;;;;2,962;3,374;0,090;;;;
1052;APERAM;1052;APERAM;17,395;17,315;17,444;17,190;17,443;16,463;17,692;17,014;17,694;17,544;17,626;15,390
1061;ICAL;1061;ICAL;;;;;;;7,970;7,893;8,397;9,000;9,000;9,000
1068;LIASA;1068;LIASA;57,358;69,017;74,812;94,160;102,235;139,460;102,306;116,219;96,684;99,390;123,830;101,240
1080;TUPI;1080;TUPI;10,439;9,404;;;4,922;5,537;;3,983;9,961;7,306;4,270;4,153
1085;INONIBRAS;1085;INONIBRAS;5,125;5,073;5,038;5,068;4,967;4,916;;;;;;
1086;WHITE MARTINS;1086;WHITE MARTINS;154,675;139,417;114,520;42,680;45,140;64,130;103,407;143,483;121,518;121,065;89,578;81,964
1090;ECLSA;1090;ECLSA;;;;;;;;;0,035;0,026;;
1091;NEMAK;1091;NEMAK;;0,061;0,754;0,706;0,542;1,722;2,227;1,941;2,783;0,306;;
1097;SG CANALIZACAO ITAUNA;1097;SG CANALIZACAO ITAUNA;;;;;;;;;0,014;;;
1108;TEKSID;1108;TEKSID;;;;;;;;;0,301;;;
1124;CARAMURU PIE I;1124;CARAMURU;0,327;0,141;;1,822;1,583;1,375;;1,431;0,056;;;
1125;ELEJOR;1125;ELEJOR;111,200;111,448;111,010;73,810;73,570;73,650;96,202;96,674;97,702;98,982;98,745;97,274
1135;ROMI;1135;ROMI;1,478;;1,081;1,100;1,099;1,100;1,099;1,099;1,036;;;
1140;CEMIG GERACAO;1140;CEMIG GERACAO;2.120,761;2.085,944;2.078,155;2.104,736;1.914,916;1.899,644;2.213,554;2.289,950;2.340,023;1.938,410;1.646,721;1.535,939
1141;CEMIG DISTRIB;1141;CEMIG DISTRIB;20,193;20,193;20,193;19,869;19,869;19,869;251,869;251,869;251,869;251,869;251,869;251,869
1142;ARCOR;1142;ARCOR;;;;;;0,188;;0,081;0,026;;;
1144;TEXTILCANATIBA;1144;TEXTILCANATIBA;;;1,591;1,812;3,200;3,139;3,169;2,800;0,775;0,731;1,654;
1148;HOLCIM;1148;HOLCIM;;;;;;2,060;5,821;3,313;;1,666;2,006;4,012
1149;SAMARCO;1149;SAMARCO;18,413;24,320;28,662;28,949;;;;;;;;
1151;STOLA;1151;STOLA;0,173;;;0,388;;;;;;;;
1154;LITORAL PLAZA;1154;LITORAL PLAZA;0,072;0,061;0,410;0,394;0,231;0,205;0,261;0,216;0,091;0,184;0,068;0,095
1156;FIAT AUTO;1156;FIAT AUTO;;;;;;;;;;0,156;;1,659
1160;OXITENO;1160;OXITENO;;;;1,725;2,250;;;;;;;
1164;RIAL;1164;RIAL;15,326;19,913;24,913;20,011;8,139;2,700;2,700;2,700;2,700;2,700;2,700;2,700
1178;PCH FERRADURA;1178;PCH FERRADURA;;;;;;;;;;;;0,110
1181;PETROLINA;1181;PETROLINA;;22,744;22,838;54,714;;;;;;;;
1183;CIC MATRIZ;1183;CIC MATRIZ;;;;;;;;0,014;;;;
1185;RIO DOCE;1185;RIO DOCE;7,000;7,000;7,000;;;;;;;;;
1187;CATERPILLAR;1187;CATERPILLAR;0,166;;;;0,009;0,028;0,074;0,125;0,076;0,053;;
1188;BUNGE ALIMENTO;1188;BUNGE ALIMENTO;;;;;;;;0,995;0,875;;;
1189;PILKINGTON;1189;PILKINGTON;0,087;0,076;0,212;0,062;0,065;0,221;0,276;1,474;1,175;1,283;0,743;1,422
1199;TRW;1199;TRW;;;;;;1,280;;;;;;
1204;NITROQUIMICA;1204;NITROQUIMICA;0,303;0,304;0,254;0,545;0,430;0,410;0,376;0,246;0,336;0,339;0,237;0,227
1207;NADIR FIGUEIRE;1207;NADIR FIGUEIRE;;;;;;0,042;0,672;3,562;1,181;0,134;0,151;0,376
1212;PLASTIPAK PAULINIA;1212;PLASTIPAK PAULINIA;0,117;0,271;0,704;2,175;0,988;0,079;;;;;;
1217;PLASCAR;1217;PLASCAR;;;;;0,941;;;;;;;
1219;PETROM;1219;PETROM;;;;0,331;;;;0,038;;;;
1232;TEKNO;1232;TEKNO;;0,030;;;;;;;;;;
1242;VOLVO;1242;VOLVO;0,080;0,083;0,081;0,088;;0,095;0,096;0,100;0,103;0,258;0,110;
1243;CEBRACE;1243;CEBRACE;;;;;;;0,050;0,101;0,063;0,025;0,046;
1245;AJINOMOTO 1;1245;AJINOMOTO 1;;;2,055;0,920;;0,181;0,581;0,914;;;;
1252;PRYSMIAN SORO;1252;PRYSMIAN SORO;;;;;;;0,122;;;;;
1253;PPE FIOS;1253;PPE FIOS;0,342;0,115;0,091;0,119;0,074;;0,028;0,125;;0,026;0,219;1,395
1255;VOLKSWAGEN;1255;VOLKSWAGEN;;;1,243;0,648;1,056;5,854;2,714;0,638;1,597;2,823;;
1258;INPA;1258;INPA;;;;;;;0,226;;0,333;;;
1261;IPAPER;1261;IPAPER;;;;;;;0,619;0,645;0,666;0,000;0,708;0,625
1264;YPE-QUIMICA;1264;YPE-QUIMICA;0,041;0,025;0,030;0,191;;;0,047;0,600;0,054;0,026;;
1265;IBS-ENERGY;1265;IBS-ENERGY;28,380;29,700;28,183;31,155;31,954;46,642;28,387;28,200;29,242;28,381;23,753;27,289
1272;PRODUFLEX;1272;PRODUFLEX;0,018;;;;;;;;;;;
1273;JACOBINA;1273;JACOBINA;0,322;0,597;0,552;0,669;0,656;1,429;6,236;6,663;5,896;6,403;6,547;5,617
1276;CIA EP;1276;CIA EP;;1,265;;;;;;;;;;
1277;FORD;1277;FORD;0,759;0,827;;;0,806;2,823;2,943;3,333;3,458;3,416;2,952;
1291;ALCAN ALUMINA;1291;ALCAN ALUMINA;4,058;0,127;2,735;0,806;1,929;2,507;3,185;3,627;4,981;20,884;5,046;5,492
1298;KS PISTOES;1298;KS PISTOES;1,108;1,000;1,000;;;0,090;;0,116;;0,533;;
1300;DOHLER;1300;DOHLER;1,351;1,384;1,351;1,303;1,351;1,335;1,396;1,351;1,349;1,351;1,289;1,399
1318;MELHORAMENTOS;1318;MELHORAMENTOS;1,887;0,757;1,145;3,023;2,976;2,646;0,538;;;2,153;1,824;1,384
1322;NITRIFLEX;1322;NITRIFLEX;;;;;;;;;0,032;;;
1323;TREIBACHER;1323;TREIBACHER;;;;;0,036;;;;;;;
1327;VOITH PAPER;1327;VOITH PAPER;;;;;;0,194;0,134;0,094;0,139;0,202;0,139;0,269
1330;ALBRAS;1330;ALBRAS;;;;27,820;22,220;;;;;;;26,730
1332;ARAUCO PAINEIS;1332;ARAUCO PAINEIS;0,734;;;;0,850;0,850;0,850;6,049;0,850;0,850;0,850;0,850
1337;GOODYEAR;1337;GOODYEAR;;;;;0,739;0,514;1,344;;0,278;;;
1360;ABC PLAZA SHOP;1360;ABC PLAZA SHOP;1,337;1,135;2,524;2,482;1,462;1,249;1,202;1,006;0,897;1,241;1,037;0,947
1363;SCHULZ;1363;SCHULZ;;;;;;;;;;;;2,314
1364;SANTHER MATRIZ;1364;SANTHER MATRIZ;0,535;0,360;0,517;2,909;0,217;0,542;4,002;3,748;2,730;1,840;2,932;0,588
1365;PARAMOUNT STA;1365;PARAMOUNT STA;;0,108;;0,145;0,231;0,326;0,427;0,360;;0,151;;
1367;ALTONA;1367;ALTONA;;;;;;;;0,054;;;0,015;
1374;SAMA;1374;SAMA;;;0,234;0,911;;0,695;0,536;2,010;0,480;;;
1379;MANIKRAFT CL;1379;MANIKRAFT;1,049;1,400;1,400;1,400;1,400;1,400;1,400;1,400;1,400;1,400;1,400;1,399
1380;PARAMOUNT SUL;1380;PARAMOUNT SUL;0,267;0,435;0,323;0,459;0,513;0,394;0,371;0,489;0,277;0,089;;
1382;INDUPA;1382;INDUPA;;;;38,499;62,739;;;;;;;
1383;KLABIN PUMA;1383;KLABIN;0,406;0,417;0,233;0,293;0,200;0,254;0,705;0,526;0,295;0,649;0,687;1,847
1384;KIMBERLY CLARK;1384;KIMBERLY CLARK;;;;;;;0,424;0,102;;;;0,066
1389;MMCOFAP;1389;MMCOFAP;0,069;;;;;;;;;;0,135;
1402;CLARIOS;1402;CLARIOS;;;;;;;;;0,053;;0,116;0,853
1408;SHOP PARQUE DOM PEDRO;1408;SHOP PARQUE DOM PEDRO;;;0,564;0,562;0,223;0,228;0,255;0,133;;;;
1409;EATON;1409;EATON;2,123;1,854;1,824;1,544;4,834;3,790;4,075;3,873;3,745;4,473;1,930;2,010
1413;SANTISTA WORK;1413;SANTISTA WORK;;;;;;;;;;;;0,619
1417;WHEATON MATRIZ;1417;WHEATON MATRIZ;;0,866;0,559;0,500;1,634;1,776;1,926;1,214;0,970;1,606;3,174;2,342
1418;MAHLE SBC;1418;MAHLE SBC;;;;;;;;;;0,167;0,197;0,727
1423;KODAK;1423;KODAK;0,209;0,183;0,171;0,194;0,220;0,146;0,281;0,207;0,219;0,316;0,347;0,376
1426;FERBASA;1426;FERBASA;;;;;;10,000;;;;;;
1439;COCAMAR;1439;COCAMAR;0,887;;;0,243;4,950;4,950;4,950;4,950;3,050;;0,306;2,668
1458;NORFIL;1458;NORFIL;1,850;1,880;1,144;;0,866;;0,377;1,133;1,153;0,688;0,884;3,308
1459;VICUNHA IV;1459;VICUNHA IV;3,576;;;;4,335;;;;;;;
1460;DURAMETAL;1460;DURAMETAL;;;;;;;;;;;;1,000
1472;KOMATSU;1472;KOMATSU;;;;;;;;0,806;;;;
1488;BAESA;1488;BAESA;360,239;352,203;350,593;347,960;347,848;347,705;370,757;370,377;375,250;370,225;368,041;362,996
1492;MEXICHEM SP;1492;MEXICHEM SP;0,160;0,161;;;;0,192;0,503;0,633;0,747;0,394;0,302;1,169
1512;VERACEL;1512;VERACEL;30,000;30,000;33,022;30,946;31,820;30,000;30,000;30,000;31,614;32,333;23,000;27,097
1520;NEOVIA MG;1520;NEOVIA MG;;0,664;0,268;0,406;0,345;0,163;0,539;0,231;0,493;0,371;0,541;0,408
1522;CORUMBA IV;1522;CORUMBA IV;76,000;76,000;76,000;76,000;76,000;76,000;76,000;76,000;76,000;76,000;76,000;76,000
1536;MONSANTO;1536;MONSANTO;;;;0,439;;;2,253;0,359;;;;
1537;IMERYS PPSA;1537;IMERYS PPSA;;;;;;0,227;1,092;1,142;1,181;0,290;;
1539;BIRLA CARBON;1539;BIRLA CARBON;;;;;;;;;;0,716;;11,651
1551;ENERGEST;1551;ENERGEST;96,235;107,405;475,706;130,795;110,494;108,355;97,961;97,196;97,790;114,274;114,691;114,883
1556;M DIAS BRANCO;1556;M DIAS BRANCO;0,653;2,149;0,155;0,226;;0,122;;;;;;
1560;FA FILIAL MEC;1560;FA FILIAL MEC;;;;;;;;;;;;0,731
1569;CEB PAR;1569;CEB PAR;9,255;9,800;9,402;9,185;8,693;8,539;8,343;8,586;8,852;8,998;9,169;9,248
1571;CEB DISTRIBUIC;1571;CEB DISTRIBUIC;165,053;165,053;165,053;157,867;157,867;157,867;294,009;294,009;294,009;342,005;342,005;340,962
1578;ENERPEIXE;1578;ENERPEIXE;238,700;241,340;243,340;215,300;207,300;195,300;300,700;300,700;300,700;344,660;343,792;397,720
1580;LEF PISOS;1580;LEF PISOS;;;;;;;;;;;;0,710
1581;TABOCA;1581;TABOCA;;;;;;;0,183;1,997;;;0,599;
1583;ENERCAN;1583;ENERCAN;381,231;371,759;370,202;366,676;366,260;366,402;378,021;378,336;378,631;376,091;373,395;367,993
1586;CINPAL;1586;CINPAL;4,663;3,567;1,913;1,212;0,863;0,703;1,321;1,479;1,870;3,507;3,398;4,038
1587;INTERSHOPGUA;1587;INTERSHOPGUA;0,792;0,460;1,687;1,675;0,835;0,567;0,661;0,470;0,199;0,562;0,408;0,522
1594;MWL BRASIL;1594;MWL BRASIL;1,613;0,948;;0,965;;;0,187;;0,742;0,181;;
1600;DIFERENCIAL;1600;DIFERENCIAL;88,800;147,624;210,750;177,729;152,823;186,197;71,674;57,309;66,381;104,542;126,855;124,025
1608;LIGHT ENERGIA;1608;LIGHT ENERGIA;454,469;434,618;429,618;413,873;388,873;368,873;419,075;448,607;448,607;448,607;447,983;446,856
1614;SOCIBE;1614;SOCIBE;;;;;;;;;14,000;6,000;3,000;3,000
1617;ISAMU IKEDA;1617;ISAMU IKEDA;;;;;;;;;7,000;10,000;10,000;10,000
1622;SIEMENS CE;1622;SIEMENS LTDA;0,044;0,220;0,044;0,108;0,048;0,272;0,212;0,142;0,172;0,227;0,057;0,226
1630;QUANTA GERACAO;1630;QUANTA GERACAO;3,645;1,889;1,856;;;;2,358;;;;;
1632;CORURIPE ENERGETICA;1632;CORURIPE ENERGETICA;;;;;;;;4,073;1,688;;;
1646;EKA CHEMICALS;1646;EKA CHEMICALS;5,000;3,399;3,500;5,500;4,300;2,000;;;;;7,600;3,700
1649;TIMACAGRO RG;1649;TIMACAGRO RG;;1,398;0,389;;;;;;;;;
1653;TBM UNIDADE 1;1653;TBM UNIDADE 1;;;;;;;;0,130;;0,170;;
1665;PRAIAMAR;1665;PRAIAMAR;;0,063;0,539;0,545;0,175;0,147;0,045;;;;;
1668;PITANGUEIRAS;1668;PITANGUEIRAS;2,990;;;;1,273;16,807;5,579;;;;;
1671;IBAR LTDA;1671;IBAR LTDA;0,941;;;;;;;0,029;;;;
1673;CABOT;1673;CABOT;1,277;1,162;1,086;;0,806;;0,990;0,103;;;;
1678;COTEMINAS SA;1678;COTEMINAS SA;17,000;22,000;17,000;31,000;35,000;37,000;23,000;24,000;24,000;35,000;28,000;32,000
1277;FORD;1691;FORD NE;;0,478;;;;2,357;4,065;4,878;4,975;3,947;0,501;
1086;WHITE MARTINS;1702;WHITE MART S;1,980;1,980;1,880;1,320;1,320;1,390;1,640;1,720;1,720;1,590;1,560;1,560
1383;KLABIN PUMA;1704;KLABIN NE;0,286;0,293;;0,151;0,353;0,473;0,220;0,714;0,209;0,093;0,057;1,154
1364;SANTHER MATRIZ;1706;SANTHER S;0,070;0,069;0,068;;0,055;0,060;0,068;;0,073;0,087;0,075;0,076
1383;KLABIN PUMA;1710;KLABIN S;;;;;;;;0,052;;0,090;;
1717;VITOPEL;1717;VITOPEL;;;;;;;0,284;0,085;0,055;;;
47;ELETROBRAS;1718;ACEP;1.079,715;1.114,356;1.092,774;1.189,141;1.294,093;1.302,863;1.296,342;1.349,151;1.393,818;1.436,210;1.481,680;1.307,488
47;ELETROBRAS;1719;ACEI;6.246,108;6.248,710;6.227,975;6.217,673;6.214,758;6.255,301;6.276,178;6.261,069;6.248,895;6.253,135;6.240,444;6.215,553
1724;ITABIRA;1724;ITABIRA;;;2,792;;;;;;;;2,021;
1730;SELMI;1730;SELMI;;;0,032;0,115;;;0,041;0,020;0,008;;;
1739;BAGUARI;1739;BAGUARI;40,629;42,041;40,758;39,246;37,632;36,958;36,550;37,641;38,941;40,129;40,487;40,449
1743;REGALI;1743;REGALI;0,048;0,178;;;;;;0,060;0,062;0,121;0,066;0,206
1745;SHERWIN W;1745;SHERWIN W;;0,034;0,036;0,146;0,121;0,083;;0,040;0,019;0,140;0,147;0,067
1751;WHIRLPOOL MAT;1751;WHIRLPOOL MAT;;;;;;;;;;;;0,133
1755;HERING MAT;1755;HERING MAT;0,153;0,078;0,077;0,111;0,118;0,171;0,168;0,124;0,107;0,156;0,113;0,200
1756;RIO CLARO;1756;RIO CLARO;40,350;41,752;40,478;38,976;37,374;36,704;36,299;37,382;38,673;39,853;40,208;40,171
1762;IJUI;1762;IJUI;31,039;32,117;31,137;29,981;28,749;28,234;27,922;28,755;29,749;30,656;30,930;30,901
1765;MALWEE;1765;MALWEE;0,690;0,273;0,253;0,314;0,152;;;0,063;0,120;0,273;0,099;0,521
1774;SCHWEITZER;1774;SCHWEITZER;;;;;;;0,208;;;;;
1778;TELEMAR;1778;TELEMAR;0,485;0,622;;;0,141;;;;0,972;0,968;;0,665
1784;ENERGISA COM;1784;ENERGISA COM;423,231;419,030;482,064;385,667;397,353;730,879;424,126;412,568;383,872;440,720;451,813;516,355
1785;AFLUENTE;1785;AFLUENTE;17,000;17,000;17,000;17,000;17,000;17,000;17,000;17,000;17,000;17,000;17,000;17,000
1786;BRENTECH;1786;BRENTECH;;52,196;25,937;24,300;15,022;22,052;30,053;19,089;15,517;5,370;29,172;45,568
1788;TEXTIL UNIAO;1788;TEXTIL UNIAO;3,900;;;;;;;;;;;
1792;IGARATIBA;1792;IGARATIBA;;;;;;0,844;0,813;0,901;1,213;0,941;;
1796;NOVO SHOPPING;1796;NOVO SHOPPING;0,551;0,521;1,156;1,139;0,605;0,690;0,663;0,464;0,132;0,563;0,413;0,000
1797;GKN;1797;GKN;0,368;;0,634;1,239;1,692;2,471;1,998;2,570;2,183;3,349;2,057;3,567
1799;WETZEL;1799;WETZEL;;;;;;;;;;0,081;;0,875
1812;BRIDGESTONE;1812;BRIDGESTONE;;;;;;;;;;;;0,202
